,category,Unnamed: 0,views,likes,dislikes,comment_count,video_error_or_removed,Global Code,Region Code,Sub-region Code,Intermediate Region Code,count,comtoview
0,Autos & Vehicles,1044024042,1661853766,45461895,2571460,5957385,2,4734,576765.0,636352.0,3276.0,22410756,0.003584782922470448
1,Comedy,4593644228,22050866339,1081392644,40698333,110064836,3,26970,2820344.0,2892546.0,22646.0,727380900,0.004991406428568984
2,Education,1317256715,2734841410,117479047,3710565,13547175,0,7788,737151.0,766360.0,6916.0,60652944,0.004953550487594818
3,Entertainment,18840381108,104517467253,2857743591,248270342,407583131,68,109006,11261330.0,13362090.0,175331.0,11882308036,0.003899665211111409
4,Film & Animation,4119348545,27619347901,589885590,25279207,65387125,85,20932,2352083.0,2354003.0,16874.0,438148624,0.002367439131234252
5,Gaming,2283504258,7730729502,298337663,19534374,48853951,2,11498,1291491.0,1438336.0,12922.0,132204004,0.006319449023195172
6,Howto & Style,3261456510,9771031927,347338295,12756984,49180936,3,18856,1681564.0,2467668.0,32071.0,355548736,0.00503334103986497
7,Movies,6724989,70359777,1005417,50242,55832,0,36,4486.0,2836.0,0.0,1296,0.0007935215599105722
8,Music,7274087491,255967088943,7227198427,294657819,620030515,60,42514,4543122.0,5234885.0,43823.0,1807440196,0.0024223056079606836
9,News & Politics,7877572804,10422502991,163503422,28778398,45391130,13,37288,4201051.0,3932164.0,40469.0,1390394944,0.004355108368805072
10,Nonprofits & Activism,2329191,168941392,14815646,3310381,4808797,0,57,1083.0,1197.0,0.0,3249,0.028464291332463983
11,People & Blogs,11772426819,23600365409,692550961,56634003,100889458,7,54052,5971946.0,7818621.0,106067.0,2921618704,0.004274910843606082
12,Pets & Animals,972945977,2008474231,56601492,1503766,8103678,1,4863,534798.0,366888.0,1079.0,23648769,0.004034743326512711
13,Science & Technology,1226033168,9194715151,252570921,12218574,47344743,3,8171,683653.0,824218.0,6903.0,66765241,0.005149125581650115
14,Shows,214941660,444064556,4570827,682505,641365,0,974,119036.0,81282.0,39.0,948676,0.0014443057689116714
15,Sports,4528989930,18972425164,399630743,26536025,46998109,5,23684,2342527.0,3605591.0,52650.0,560931856,0.0024771798330336004
16,Trailers,1035845,55043,198,9,2,0,5,734.0,525.0,0.0,25,3.63352288211035e-05
17,Travel & Events,303722926,726674959,13494079,739962,2240753,0,1776,145083.0,167785.0,1521.0,3154176,0.003083569857813141
